ENSEMBL,SYMBOL,GENENAME
ENSMUSG00000025902,Sox17,SRY (sex determining region Y)-box 17
ENSMUSG00000098104,NA,NA
ENSMUSG00000033845,Mrpl15,mitochondrial ribosomal protein L15
ENSMUSG00000102275,NA,NA
ENSMUSG00000025903,Lypla1,lysophospholipase 1
ENSMUSG00000033813,Tcea1,transcription elongation factor A (SII) 1
ENSMUSG00000062588,NA,NA
ENSMUSG00000033793,Atp6v1h,"ATPase, H+ transporting, lysosomal V1 subunit H"
ENSMUSG00000025905,Oprk1,"opioid receptor, kappa 1"
ENSMUSG00000025907,Rb1cc1,RB1-inducible coiled-coil 1
ENSMUSG00000090031,NA,NA
ENSMUSG00000033740,St18,suppression of tumorigenicity 18
ENSMUSG00000102135,NA,NA
ENSMUSG00000051285,Pcmtd1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
ENSMUSG00000103509,NA,NA
ENSMUSG00000048538,NA,NA
ENSMUSG00000097797,NA,NA
ENSMUSG00000103067,NA,NA
ENSMUSG00000025909,Sntg1,"syntrophin, gamma 1"
ENSMUSG00000084353,NA,NA
ENSMUSG00000061024,Rrs1,ribosome biogenesis regulator 1
ENSMUSG00000025911,Adhfe1,"alcohol dehydrogenase, iron containing, 1"
ENSMUSG00000079671,NA,NA
ENSMUSG00000081441,Gm6161,heterogeneous nuclear ribonucleoprotein A3 pseudogene
ENSMUSG00000025912,Mybl1,myeloblastosis oncogene-like 1
ENSMUSG00000045210,Vcpip1,valosin containing protein (p97)/p47 complex interacting protein 1
ENSMUSG00000097893,NA,NA
ENSMUSG00000025915,Sgk3,serum/glucocorticoid regulated kinase 3
ENSMUSG00000046334,Gm6195,predicted pseudogene 6195
ENSMUSG00000098234,Snhg6,small nucleolar RNA host gene 6
ENSMUSG00000099032,Tcf24,transcription factor 24
ENSMUSG00000025917,Cops5,COP9 signalosome subunit 5
ENSMUSG00000056763,Cspp1,centrosome and spindle pole associated protein 1
ENSMUSG00000067851,Arfgef1,ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)
ENSMUSG00000048960,Prex2,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2"
ENSMUSG00000016918,Sulf1,sulfatase 1
ENSMUSG00000025938,Slco5a1,"solute carrier organic anion transporter family, member 5A1"
ENSMUSG00000005886,Ncoa2,nuclear receptor coactivator 2
ENSMUSG00000025935,Tram1,translocating chain-associating membrane protein 1
ENSMUSG00000025937,Lactb2,"lactamase, beta 2"
ENSMUSG00000102982,NA,NA
ENSMUSG00000067813,Xkr9,X-linked Kx blood group related 9
ENSMUSG00000025932,Eya1,EYA transcriptional coactivator and phosphatase 1
ENSMUSG00000025930,Msc,musculin
ENSMUSG00000082193,Rpl5-ps1,"ribosomal protein L5, pseudogene 1"
ENSMUSG00000032769,Trpa1,"transient receptor potential cation channel, subfamily A, member 1"
ENSMUSG00000073737,Gm10566,glyceraldehyde-3-phosphate dehydrogenase pseudogene
ENSMUSG00000092083,Kcnb2,"potassium voltage gated channel, Shab-related subfamily, member 2"
ENSMUSG00000025925,Terf1,telomeric repeat binding factor 1
ENSMUSG00000032719,Sbspon,"somatomedin B and thrombospondin, type 1 domain containing"
ENSMUSG00000043716,Rpl7,ribosomal protein L7
ENSMUSG00000025921,Rdh10,retinol dehydrogenase 10 (all-trans)
ENSMUSG00000025920,Stau2,staufen double-stranded RNA binding protein 2
ENSMUSG00000025939,Ube2w,ubiquitin-conjugating enzyme E2W (putative)
ENSMUSG00000079658,Eloc,elongin C
ENSMUSG00000025940,Tmem70,transmembrane protein 70
ENSMUSG00000025779,Ly96,lymphocyte antigen 96
ENSMUSG00000042686,Jph1,junctophilin 1
ENSMUSG00000025777,Gdap1,ganglioside-induced differentiation-associated-protein 1
ENSMUSG00000101589,Rbm6-ps1,"RNA binding motif protein 6, pseudogene 1"
ENSMUSG00000067780,Pi15,peptidase inhibitor 15
ENSMUSG00000025776,Crispld1,cysteine-rich secretory protein LCCL domain containing 1
ENSMUSG00000100720,NA,NA
ENSMUSG00000043760,Pkhd1,polycystic kidney and hepatic disease 1
ENSMUSG00000041859,Mcm3,minichromosome maintenance complex component 3
ENSMUSG00000025931,Paqr8,progestin and adipoQ receptor family member VIII
ENSMUSG00000041809,Efhc1,EF-hand domain (C-terminal) containing 1
ENSMUSG00000041779,Tram2,translocating chain-associating membrane protein 2
ENSMUSG00000025933,Tmem14a,transmembrane protein 14A
ENSMUSG00000025934,Gsta3,"glutathione S-transferase, alpha 3"
ENSMUSG00000099343,NA,NA
ENSMUSG00000025936,NA,NA
ENSMUSG00000028033,Kcnq5,"potassium voltage-gated channel, subfamily Q, member 5"
ENSMUSG00000082935,Gm7658,"eukaryotic translation initiation factor 3, subunit M pseudogene"
